ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10015.0	25.61	7.08	25.105	17.17	10015	0	0	66	13	66	44	12	5	11	8	0	0	0.14593982696533203	200	0.14593982696533203	0	100.0	
10015.0	25.335	6.8654970760233915	24.292397660818715	16.573099415204677	10015	1	29	67	13.0	65.0	44.0	6	5.0	11.0	8.0	0	0	0.04956936836242676	400	0.1955091953277588	0	100.0	
10015.0	28.73	6.994350282485875	25.519774011299436	17.361581920903955	10015	2	52	59	14.0	62.0	42.0	3	5.0	11.0	8.0	0	0	0.051954030990600586	600	0.24746322631835938	0	100.0	
10015.0	31.125	6.923497267759563	25.0327868852459	17.010928961748633	10015	3	69	62	14.0	57.0	38.0	11	5.0	11.0	8.0	0	0	0.051998138427734375	800	0.29946136474609375	0	100.0	
10015.0	32.605	6.646739130434782	24.206521739130434	16.47826086956522	10015	4	85	82	14.0	51.0	34.0	7	5.0	11.0	8.0	0	0	0.05213785171508789	1000	0.35159921646118164	0	100.0	
10015.0	33.83	6.579234972677596	23.74863387978142	16.21311475409836	10015	5	102	82	11.0	74.0	50.0	5	5.0	11.0	8.0	0	0	0.049752235412597656	1200	0.4013514518737793	0	100.0	
10015.0	35.9	7.065217391304348	26.005434782608695	17.75	10015	6	118	90	12.0	51.0	34.0	11	5.0	11.0	8.0	0	0	0.0521540641784668	1400	0.4535055160522461	0	100.0	
10015.0	35.605	7.07027027027027	25.194594594594594	17.216216216216218	10015	7	133	79	15.0	63.0	42.0	6	5.0	11.0	8.0	0	0	0.05144977569580078	1600	0.5049552917480469	0	100.0	
10015.0	36.07	6.989189189189189	24.745945945945945	16.94054054054054	10015	8	148	80	15.0	60.0	40.0	7	5.0	11.0	8.0	0	0	0.050806283950805664	1800	0.5557615756988525	0	100.0	
10015.0	35.04	6.909090909090909	23.727272727272727	16.25668449197861	10015	9	161	98	15.0	72.0	49.0	9	5.0	11.0	8.0	0	0	0.049527645111083984	2000	0.6052892208099365	0	100.0	
10015.0	33.865	6.893854748603352	23.100558659217878	15.837988826815643	10015	10	182	92	12.0	60.0	40.0	6	5.0	11.0	8.0	0	0	0.047879934310913086	2200	0.6531691551208496	0	100.0	
10015.0	33.0	6.798941798941799	22.354497354497354	15.34920634920635	10015	11	193	78	12.0	60.0	40.0	8	5.0	11.0	8.0	0	0	0.04764962196350098	2400	0.7008187770843506	0	100.0	
10015.0	34.615	7.182795698924731	24.413978494623656	16.768817204301076	10015	12	207	83	15.0	77.0	52.0	6	5.0	11.0	8.0	0	0	0.04806017875671387	2600	0.7488789558410645	0	100.0	
10015.0	35.205	7.202127659574468	24.930851063829788	17.111702127659573	10015	13	219	84	17.0	77.0	52.0	4	5.0	11.0	8.0	0	0	0.050183773040771484	2800	0.7990627288818359	0	100.0	
10015.0	37.47	7.1005291005291005	24.925925925925927	17.1005291005291	10015	14	230	84	13.0	78.0	52.0	10	5.0	11.0	8.0	0	0	0.05176687240600586	3000	0.8508296012878418	0	100.0	
10015.0	38.615	7.222222222222222	24.571428571428573	16.91005291005291	10015	15	241	81	12.0	56.0	38.0	7	5.0	11.0	8.0	0	0	0.05006003379821777	3200	0.9008896350860596	0	100.0	
10015.0	38.485	7.021505376344086	23.274193548387096	16.053763440860216	10015	16	255	90	14.0	59.0	40.0	7	5.0	11.0	8.0	0	0	0.06668543815612793	3400	0.9675750732421875	0	100.0	
10015.0	43.935	7.105263157894737	24.294736842105262	16.689473684210526	10015	17	265	92	15.0	60.0	40.0	7	5.0	11.0	8.0	0	0	0.04971194267272949	3600	1.017287015914917	0	100.0	
10015.0	44.525	7.177083333333333	23.651041666666668	16.286458333333332	10015	18	273	97	15.0	56.0	38.0	4	5.0	11.0	8.0	0	0	0.04778122901916504	3800	1.065068244934082	0	100.0	
10015.0	45.28	7.06701030927835	25.298969072164947	17.34020618556701	10015	19	279	96	15.0	62.0	42.0	8	5.0	11.0	8.0	0	0	0.051149606704711914	4000	1.116217851638794	0	100.0	
10015.0	44.755	7.052083333333333	24.015625	16.479166666666668	10015	20	287	81	15.0	59.0	40.0	8	5.0	11.0	8.0	0	0	0.04782366752624512	4200	1.164041519165039	0	100.0	
10015.0	24.615	6.895	24.13	16.53	10015	20	287	69	14	68	46	12	5	11	8	0	0	0.28739428520202637	4200	1.4514358043670654	0	100.0	
10015.0	23.805	6.524390243902439	21.786585365853657	14.99390243902439	10015	1	323	75	13.0	68.0	46.0	8	5.0	11.0	8.0	0	0	0.04179573059082031	400	1.4932315349578857	0	100.0	
10015.0	26.38	6.662921348314606	22.0561797752809	15.219101123595506	10015	2	345	91	10.0	50.0	34.0	5	5.0	11.0	8.0	0	0	0.0450291633605957	600	1.5382606983184814	0	100.0	
10015.0	25.345	6.715976331360947	22.325443786982248	15.402366863905325	10015	3	376	77	12.0	51.0	34.0	5	5.0	11.0	8.0	0	0	0.04266023635864258	800	1.580920934677124	0	100.0	
10015.0	26.96	6.631284916201118	21.553072625698324	14.916201117318435	10015	4	397	92	11.0	50.0	34.0	2	5.0	11.0	8.0	0	0	0.043685197830200195	1000	1.6246061325073242	0	100.0	
10015.0	27.655	6.618497109826589	21.6878612716763	15.00578034682081	10015	5	424	69	11.0	50.0	34.0	3	5.0	11.0	8.0	0	0	0.0669863224029541	1200	1.6915924549102783	0	100.0	
10015.0	30.085	6.586021505376344	21.881720430107528	15.150537634408602	10015	6	438	77	11.0	57.0	38.0	5	5.0	11.0	8.0	0	0	0.044554710388183594	1400	1.736147165298462	0	100.0	
10015.0	30.79	6.828877005347594	22.97326203208556	15.909090909090908	10015	7	451	76	11.0	57.0	38.0	10	5.0	11.0	8.0	0	0	0.0458378791809082	1600	1.7819850444793701	0	100.0	
10015.0	32.215	6.786885245901639	22.9672131147541	15.863387978142077	10015	8	468	79	11.0	57.0	38.0	5	5.0	11.0	8.0	0	0	0.045722246170043945	1800	1.827707290649414	0	100.0	
10015.0	34.235	6.983870967741935	23.93010752688172	16.532258064516128	10015	9	482	77	12.0	51.0	35.0	7	5.0	11.0	8.0	0	0	0.047647714614868164	2000	1.8753550052642822	0	100.0	
10015.0	35.98	6.783783783783784	23.356756756756756	16.11891891891892	10015	10	497	81	11.0	51.0	34.0	8	5.0	11.0	8.0	0	0	0.04703998565673828	2200	1.9223949909210205	0	100.0	
10015.0	38.015	7.194871794871795	25.58974358974359	17.61025641025641	10015	11	502	83	13.0	65.0	44.0	5	5.0	11.0	8.0	0	0	0.05081677436828613	2400	1.9732117652893066	0	100.0	
10015.0	36.095	6.935828877005347	24.21390374331551	16.684491978609625	10015	12	515	90	12.0	69.0	46.0	6	5.0	11.0	8.0	0	0	0.04891705513000488	2600	2.0221288204193115	0	100.0	
10015.0	38.705	7.063492063492063	25.116402116402117	17.3015873015873	10015	13	526	81	13.0	59.0	40.0	10	5.0	11.0	8.0	0	0	0.05027914047241211	2800	2.0724079608917236	0	100.0	
10015.0	38.9	7.052356020942408	25.26178010471204	17.43455497382199	10015	14	535	90	15.0	60.0	41.0	10	5.0	11.0	8.0	0	0	0.051241159439086914	3000	2.1236491203308105	0	100.0	
10015.0	39.36	7.057894736842106	25.45263157894737	17.594736842105263	10015	15	545	90	15.0	57.0	38.0	6	5.0	11.0	8.0	0	0	0.05066823959350586	3200	2.1743173599243164	0	100.0	
10015.0	42.32	7.175257731958763	25.412371134020617	17.54639175257732	10015	16	551	99	15.0	66.0	44.0	12	5.0	11.0	8.0	0	0	0.051192522048950195	3400	2.2255098819732666	0	100.0	
