ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
2.4282259023377866e+128	26.344	6.488	24.622	17.734	0.19030529869801968	0	0	178	10	170	119	3	3	3	2	46	0	5.681987047195435	500	5.681987047195435	
2.8959131868817925e+35	22.426	7.775067750677507	17.33062330623306	12.43089430894309	0.19030529869801968	1	132	132	38.0	144.0	102.0	2	2.0	2.0	1.0	59	0	0.0809319019317627	1000	5.762918949127197	
6.583387024598196e+46	21.326	6.673031026252984	12.365155131264917	9.009546539379475	0.19030529869801968	2	214	88	26.0	72.0	55.0	2	2.0	2.0	1.0	62	0	0.07074832916259766	1500	5.833667278289795	
1.8213416369353718e+40	21.674	6.713024282560706	11.600441501103752	8.551876379690949	0.19030529869801968	3	262	87	19.0	50.0	38.0	1	2.0	2.0	1.0	66	0	0.0703744888305664	2000	5.904041767120361	
7.995540544195175e+39	24.026	6.995680345572354	12.196544276457884	9.079913606911447	0.19030529869801968	4	300	103	21.0	84.0	59.0	3	2.0	2.0	1.0	74	0	0.0749199390411377	2500	5.978961706161499	
2.477875820357645e+22	24.018	6.755411255411255	11.307359307359308	8.380952380952381	0.19030529869801968	5	339	86	19.0	51.0	37.0	1	2.0	2.0	1.0	76	0	0.07100772857666016	3000	6.049969434738159	
2.0073893927947546e+37	27.17	7.066805845511483	12.21920668058455	9.045929018789144	0.1885514838512606	6	361	92	25.0	71.0	53.0	2	2.0	2.0	1.0	78	0	0.07413578033447266	3500	6.124105215072632	
2.320226667336474e+39	29.576	7.736514522821577	13.910788381742739	10.348547717842324	0.18514678089302186	7	380	90	26.0	74.0	53.0	1	2.0	2.0	1.0	83	0	0.07922148704528809	4000	6.20332670211792	
2.4792652272495873e+39	29.386	8.033970276008493	14.698513800424628	10.968152866242038	0.18514678089302186	8	410	96	30.0	79.0	59.0	2	2.0	2.0	1.0	84	0	0.08008360862731934	4500	6.283410310745239	
2.073821793398262	29.676	8.4625	15.7375	11.785416666666666	0.18514678089302186	9	431	107	34.0	113.0	84.0	1	2.0	2.0	1.0	87	0	0.08683919906616211	5000	6.370249509811401	
8150022023285.0205	30.56	8.635051546391752	16.58556701030928	12.402061855670103	0.18514678089302186	10	447	86	30.0	95.0	72.0	2	2.0	2.0	1.0	90	0	0.08772540092468262	5500	6.457974910736084	
3.4108778584835178	32.332	8.75365344467641	16.92901878914405	12.678496868475992	0.18472851311815447	11	469	135	30.0	98.0	74.0	4	2.0	2.0	1.0	92	0	0.08900094032287598	6000	6.54697585105896	
3.945940134629311e+25	32.67	8.931392931392931	17.542619542619544	13.147609147609147	0.18472851311815447	12	489	135	30.0	113.0	85.0	5	2.0	2.0	1.0	96	0	0.09128761291503906	6500	6.638263463973999	
1.449848493553152	34.868	9.022403258655805	18.079429735234214	13.45417515274949	0.18472851311815447	13	499	107	28.0	106.0	79.0	6	2.0	2.0	1.0	99	0	0.09293842315673828	7000	6.731201887130737	
1.630688796029674	36.804	9.278455284552846	18.975609756097562	14.08739837398374	0.18472851311815447	14	508	99	28.0	83.0	62.0	5	2.0	2.0	1.0	99	0	0.09517812728881836	7500	6.826380014419556	
169672.55848984042	38.004	8.881147540983607	18.528688524590162	13.633196721311476	0.18472851311815447	15	521	106	26.0	80.0	61.0	5	2.0	2.0	1.0	99	0	0.09071230888366699	8000	6.917092323303223	
3.2376604014875814	41.134	9.266802443991853	19.421588594704684	14.362525458248472	0.18472851311815447	16	531	125	26.0	79.0	58.0	8	2.0	2.0	1.0	101	0	0.0950632095336914	8500	7.012155532836914	
2.5776911284837736	44.064	9.895705521472392	22.06952965235174	16.267893660531698	0.18472851311815447	17	543	116	28.0	95.0	69.0	3	2.0	2.0	1.0	101	0	0.100311279296875	9000	7.112466812133789	
1.6621593391111424e+40	43.328	9.951515151515151	22.35151515151515	16.45050505050505	0.18409138260570002	18	549	125	30.0	111.0	82.0	6	2.0	2.0	1.0	104	0	0.10216641426086426	9500	7.214633226394653	
9.973056266706602e+27	45.496	10.444672131147541	23.53073770491803	17.329918032786885	0.18409138260570002	19	562	125	29.0	111.0	82.0	6	2.0	2.0	1.0	104	0	0.14436721801757812	10000	7.3590004444122314	
1.1694427078995455	48.692	11.055102040816326	25.930612244897958	19.20408163265306	0.1837691950443996	20	573	120	36.0	134.0	100.0	6	2.0	2.0	1.0	104	0	0.11172199249267578	10500	7.470722436904907	
1.2762012361305164	50.65	11.668024439918534	27.78818737270876	20.625254582484725	0.1837691950443996	21	583	137	39.0	134.0	100.0	6	2.0	2.0	1.0	105	0	0.1175847053527832	11000	7.58830714225769	
1.4231844867163488	56.222	11.907597535934292	29.404517453798768	21.897330595482547	0.18335368089682508	22	596	142	39.0	162.0	117.0	3	2.0	2.0	1.0	106	0	0.12288880348205566	11500	7.711195945739746	
1.4183452394180072	61.296	12.776422764227643	33.792682926829265	25.158536585365855	0.16601358639596248	23	605	148	45.0	154.0	119.0	6	2.0	2.0	1.0	107	0	0.13415932655334473	12000	7.845355272293091	
0.6822729608748449	65.218	13.591002044989775	38.77300613496933	28.70961145194274	0.16571194286938287	24	616	149	40.0	153.0	116.0	6	2.0	2.0	1.0	110	0	0.14526677131652832	12500	7.990622043609619	
