ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10260.630659339695	32.22	7.99	30.44	21.64	10003.162277660169	0	0	132	17	123	88	9	5	8	6	0	0	0.10988926887512207	100	0.10988926887512207	98	2.0	
10007.753228705398	21.91	6.705882352941177	19.976470588235294	14.235294117647058	10003.162277660169	1	16	117	17.0	107.0	78.0	5	5.0	8.0	6.0	0	0	0.024358749389648438	200	0.1342480182647705	154	23.0	
10005.856978483436	17.13	6.068493150684931	15.123287671232877	10.73972602739726	10003.162277660169	2	44	63	11.0	65.0	46.0	4	5.0	8.0	6.0	0	0	0.018493175506591797	300	0.1527411937713623	193	35.66666666666667	
10004.44611755329	15.92	5.616279069767442	11.453488372093023	8.174418604651162	10003.162277660169	3	59	54	11.0	28.0	19.0	5	5.0	8.0	6.0	0	0	0.01899242401123047	400	0.17173361778259277	233	41.75	
10004.268555719571	15.95	5.506172839506172	10.91358024691358	7.802469135802469	10003.162277660169	4	79	54	10.0	23.0	16.0	4	5.0	8.0	6.0	0	0	0.020065784454345703	500	0.19179940223693848	270	46.0	
10004.603719079541	17.21	5.767441860465116	11.918604651162791	8.465116279069768	10003.162277660169	5	94	50	11.0	31.0	21.0	3	5.0	8.0	6.0	0	0	0.019886255264282227	600	0.2116856575012207	300	50.0	
10004.76963494814	18.58	5.858695652173913	12.369565217391305	8.782608695652174	10003.162277660169	6	103	49	11.0	32.0	23.0	6	5.0	8.0	6.0	0	0	0.0204012393951416	700	0.2320868968963623	340	51.42857142857143	
10004.714968302109	18.16	5.694117647058824	12.176470588235293	8.635294117647058	10003.162277660169	7	119	49	10.0	28.0	19.0	4	5.0	8.0	6.0	0	0	0.018271684646606445	800	0.25035858154296875	378	52.75	
10004.221238275553	17.64	5.53932584269663	10.808988764044944	7.741573033707865	10003.162277660169	8	131	47	11.0	33.0	23.0	6	5.0	8.0	6.0	0	0	0.01974630355834961	900	0.27010488510131836	401	55.44444444444444	
10013.597217908102	18.81	5.723404255319149	11.446808510638299	8.148936170212766	10003.162277660169	9	138	48	10.0	23.0	16.0	3	5.0	8.0	6.0	0	0	0.020267248153686523	1000	0.2903721332550049	430	57.0	
