ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10014.975	25.42	7.06	24.91	17.045	10010	0	0	75	13	75	50	12	5	11	8	0	0	0.14173126220703125	200	0.14173126220703125	0	100.0	
10014.97005988024	25.32	6.922155688622754	24.11377245508982	16.526946107784433	10010	1	33	69	13.0	54.0	37.0	6	5.0	11.0	8.0	0	0	0.0460970401763916	400	0.18782830238342285	0	100.0	
10014.942196531792	27.51	6.930635838150289	25.08670520231214	17.063583815028903	10010	2	60	72	12.0	53.0	36.0	6	5.0	11.0	8.0	0	0	0.049520015716552734	600	0.23734831809997559	0	100.0	
10014.917582417582	28.61	6.978021978021978	24.89010989010989	17.054945054945055	10010	3	78	71	13.0	51.0	34.0	9	5.0	11.0	8.0	0	0	0.05055880546569824	800	0.28790712356567383	0	100.0	
10014.613259668507	30.125	7.0497237569060776	25.464088397790054	17.441988950276244	10010	4	97	82	11.0	62.0	42.0	6	5.0	11.0	8.0	0	0	0.05525803565979004	1000	0.34316515922546387	0	100.0	
10014.270833333334	33.565	7.239583333333333	26.0625	17.880208333333332	10010	5	105	83	13.0	56.0	38.0	10	5.0	11.0	8.0	0	0	0.062477827072143555	1200	0.4056429862976074	0	100.0	
10013.926701570681	35.61	7.4188481675392675	27.214659685863875	18.6282722513089	10010	6	114	84	13.0	60.0	40.0	7	5.0	11.0	8.0	0	0	0.06533265113830566	1400	0.4709756374359131	0	100.0	
10013.324468085106	38.98	7.718085106382978	28.03723404255319	19.26063829787234	10010	7	126	97	14.0	60.0	40.0	10	5.0	11.0	8.0	0	0	0.0694124698638916	1600	0.5403881072998047	0	100.0	
10012.983870967742	40.895	8.059139784946236	29.150537634408604	20.026881720430108	10010	8	140	87	14.0	63.0	43.0	11	5.0	11.0	8.0	0	0	0.07278728485107422	1800	0.6131753921508789	0	100.0	
10013.020833333334	43.525	8.494791666666666	30.838541666666668	21.197916666666668	10010	9	148	106	17.0	81.0	55.0	8	5.0	11.0	8.0	0	0	0.07938766479492188	2000	0.6925630569458008	0	100.0	
10012.853403141362	46.605	8.44502617801047	31.61780104712042	21.774869109947645	10010	10	157	109	15.0	72.0	49.0	5	5.0	11.0	8.0	0	0	0.0799705982208252	2200	0.772533655166626	0	100.0	
10012.65625	48.44	8.619791666666666	32.671875	22.463541666666668	10010	11	165	118	14.0	78.0	53.0	10	5.0	11.0	8.0	0	0	0.0842289924621582	2400	0.8567626476287842	0	100.0	
10012.358974358975	50.36	8.805128205128206	32.91282051282051	22.646153846153847	10010	12	170	132	13.0	66.0	45.0	7	5.0	15.0	11.0	0	0	0.0871579647064209	2600	0.9439206123352051	0	100.0	
10012.385786802031	52.455	8.609137055837563	33.101522842639596	22.78680203045685	10010	13	173	120	13.0	66.0	45.0	12	5.0	16.0	11.0	0	0	0.08710765838623047	2800	1.0310282707214355	0	100.0	
10012.015706806284	54.195	8.61780104712042	32.82722513089005	22.623036649214658	10010	14	182	122	13.0	63.0	43.0	10	5.0	11.0	8.0	0	0	0.08807730674743652	3000	1.119105577468872	0	100.0	
10012.216494845361	54.64	8.654639175257731	32.78350515463917	22.577319587628867	10010	15	188	122	17.0	72.0	49.0	8	5.0	11.0	8.0	0	0	0.08910584449768066	3200	1.2082114219665527	0	100.0	
10012.325	63.16	8.85	32.93	22.67	10010	16	188	145	17	75	51	18	5	11	8	0	0	0.10937714576721191	3400	1.3175885677337646	0	100.0	
10012.216494845361	66.225	9.030927835051546	36.01030927835052	24.757731958762886	10010	17	194	158	16.0	90.0	61.0	8	5.0	14.0	10.0	0	0	0.09286284446716309	3600	1.4104514122009277	0	100.0	
10012.564102564103	66.65	9.015384615384615	35.47179487179487	24.41025641025641	10010	18	199	168	16.0	84.0	57.0	17	6.0	14.0	10.0	0	0	0.08919095993041992	3800	1.4996423721313477	0	100.0	
10012.5	70.425	8.902061855670103	35.123711340206185	24.190721649484537	10010	19	205	189	16.0	87.0	59.0	11	5.0	14.0	10.0	0	0	0.09019756317138672	4000	1.5898399353027344	0	100.0	
10012.307692307691	68.89	8.994871794871795	36.91282051282051	25.348717948717947	10000	20	210	148	17.0	105.0	71.0	10	5.0	15.0	11.0	0	0	0.09238767623901367	4200	1.682227611541748	0	100.0	
