ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10014.95	33.4	8.31	32.4	22.6	10010	0	0	67	17	66	45	22	7	21	15	0	0	0.1906435489654541	100	0.1906435489654541	100	0.0	
10014.777777777777	32.1	8.166666666666666	31.733333333333334	22.155555555555555	10010	1	11	67	17.0	66.0	45.0	12	7.0	21.0	15.0	0	0	0.04657554626464844	200	0.23721909523010254	170	15.0	
10014.722222222223	34.18	8.222222222222221	31.566666666666666	22.044444444444444	10010	2	22	68	15.0	57.0	39.0	6	7.0	21.0	15.0	0	0	0.03725695610046387	300	0.2744760513305664	238	20.66666666666667	
10014.65909090909	38.7	8.636363636363637	33.51136363636363	23.34090909090909	10010	3	35	74	16.0	69.0	47.0	8	7.0	21.0	15.0	0	0	0.03848099708557129	400	0.3129570484161377	297	25.75	
10014.666666666666	39.88	8.633333333333333	33.266666666666666	23.177777777777777	10010	4	46	72	15.0	57.0	39.0	14	7.0	21.0	15.0	0	0	0.040291786193847656	500	0.35324883460998535	365	27.0	
9902.245042182596	41.62	8.348314606741573	32.62921348314607	22.752808988764045	29.808754250991377	5	58	77	15.0	57.0	39.0	5	7.0	21.0	15.0	0	0	0.0407261848449707	600	0.39397501945495605	437	27.166666666666657	
9493.906481597145	44.96	8.239583333333334	32.90625	22.9375	28.84730650891055	6	63	82	12.0	54.0	37.0	12	7.0	21.0	15.0	0	0	0.04359936714172363	700	0.4375743865966797	517	26.14285714285714	
9610.023354762827	47.38	8.383838383838384	33.96969696969697	23.646464646464647	28.84730650891055	7	65	88	12.0	54.0	37.0	19	7.0	24.0	17.0	0	0	0.048722028732299805	800	0.4862964153289795	593	25.875	
9171.804430577733	48.32	8.589473684210526	34.89473684210526	24.263157894736842	28.84730650891055	8	71	88	14.0	54.0	37.0	16	7.0	21.0	15.0	0	0	0.07219481468200684	900	0.5584912300109863	657	27.0	
9284.139891406261	48.54	8.614583333333334	34.53125	24.020833333333332	28.84730650891055	9	76	96	13.0	60.0	41.0	13	7.0	21.0	15.0	0	0	0.05791044235229492	1000	0.6164016723632812	732	26.799999999999997	
9388.088977429039	50.19	8.59375	35.3125	24.541666666666668	28.84730650891055	10	81	124	13.0	60.0	41.0	4	7.0	21.0	15.0	0	0	0.06302714347839355	1100	0.6794288158416748	809	26.454545454545453	
9276.277293563497	51.76	8.589473684210526	35.33684210526316	24.557894736842105	28.84730650891055	11	87	106	15.0	57.0	39.0	20	7.0	21.0	15.0	0	0	0.06330227851867676	1200	0.7427310943603516	879	26.75	
8789.497530012943	54.49	9.13265306122449	37.53061224489796	26.020408163265305	28.84730650891055	12	90	128	17.0	78.0	53.0	20	7.0	24.0	17.0	0	0	0.06694579124450684	1300	0.8096768856048584	960	26.153846153846146	
9187.555077162348	61.38	9.525773195876289	39.4639175257732	27.309278350515463	28.84730650891055	13	94	120	17.0	81.0	55.0	24	7.0	21.0	15.0	0	0	0.07029914855957031	1400	0.8799760341644287	1034	26.14285714285714	
8913.231211954386	62.07	9.21	37.71	26.14	28.84730650891055	14	95	132	17	78	53	21	7	21	15	0	0	0.06891798973083496	1500	0.9488940238952637	1117	25.53333333333333	
8992.697575427705	59.02	9.418367346938776	38.785714285714285	26.857142857142858	28.84730650891055	15	98	99	17.0	72.0	49.0	22	7.0	21.0	15.0	0	0	0.06948065757751465	1600	1.0183746814727783	1193	25.4375	
8750.965831975842	59.95	9.463157894736842	39.72631578947368	27.48421052631579	28.84730650891055	16	104	115	17.0	81.0	55.0	13	7.0	24.0	17.0	0	0	0.06792664527893066	1700	1.086301326751709	1264	25.647058823529406	
8913.18959915638	64.28	9.95	41.4	28.6	28.84730650891055	17	104	111	17	72	49	25	7	24	17	0	0	0.07030272483825684	1800	1.1566040515899658	1336	25.77777777777777	
