ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10015.0	16.74	6.86	14.94	11.36	10015	0	0	36	9	33	24	10	6	9	7	0	0	0.06401395797729492	50	0.06401395797729492	0	100.0	
10015.0	17.16	6.5813953488372094	14.069767441860465	10.720930232558139	10015	1	8	35	10.0	29.0	22.0	6	6.0	9.0	7.0	0	0	0.008542060852050781	100	0.0725560188293457	0	100.0	
10015.0	18.12	6.630434782608695	14.434782608695652	10.91304347826087	10015	2	13	36	9.0	24.0	18.0	6	6.0	9.0	7.0	0	0	0.008409261703491211	150	0.08096528053283691	0	100.0	
10015.0	19.24	6.690476190476191	15.166666666666666	11.452380952380953	10015	3	22	36	9.0	24.0	18.0	4	6.0	9.0	7.0	0	0	0.018916845321655273	200	0.09988212585449219	0	100.0	
10015.0	21.06	6.869565217391305	15.456521739130435	11.673913043478262	10015	4	27	42	10.0	26.0	20.0	10	6.0	9.0	7.0	0	0	0.00873422622680664	250	0.10861635208129883	0	100.0	
10015.0	19.62	6.586956521739131	13.73913043478261	10.456521739130435	10015	5	32	42	9.0	25.0	18.0	7	6.0	9.0	7.0	0	0	0.009319782257080078	300	0.1179361343383789	0	100.0	
10015.0	20.34	6.387755102040816	12.89795918367347	9.83673469387755	10015	6	34	42	9.0	24.0	18.0	9	6.0	9.0	7.0	0	0	0.008836507797241211	350	0.12677264213562012	0	100.0	
10014.6875	20.9	6.6875	14.333333333333334	10.875	10000	7	37	45	10.0	25.0	19.0	6	6.0	9.0	7.0	0	0	0.00954747200012207	400	0.1363201141357422	0	100.0	
10014.583333333334	22.6	6.729166666666667	14.354166666666666	10.854166666666666	10000	8	40	48	10.0	27.0	19.0	7	6.0	9.0	7.0	0	0	0.009636878967285156	450	0.14595699310302734	0	100.0	
9810.969301787569	25.58	6.8979591836734695	15.122448979591837	11.428571428571429	57.495787590894665	9	42	47	10.0	31.0	23.0	6	6.0	9.0	7.0	0	0	0.011137247085571289	500	0.15709424018859863	0	100.0	
9615.099831503636	26.42	7.4	18.44	13.76	57.495787590894665	10	43	39	11	35	25	12	6	9	7	0	0	0.013822555541992188	550	0.17091679573059082	0	100.0	
9377.71249708027	29.72	7.702127659574468	19.872340425531913	14.74468085106383	57.495787590894665	11	47	52	11.0	36.0	27.0	10	6.0	9.0	7.0	0	0	0.014586925506591797	600	0.18550372123718262	0	100.0	
8561.152025345511	30.0	7.666666666666667	20.375	15.0625	57.495787590894665	12	50	55	11.0	39.0	29.0	11	6.0	9.0	7.0	0	0	0.01593160629272461	650	0.20143532752990723	0	100.0	
9017.489087975595	32.86	7.8	20.82	15.34	57.495787590894665	13	51	53	15	44	31	21	6	9	7	0	0	0.016529560089111328	700	0.21796488761901855	0	100.0	
8419.816749078853	33.18	8.44	23.94	17.5	57.495787590894665	14	52	53	15	44	31	18	6	9	7	0	0	0.01840066909790039	750	0.23636555671691895	0	100.0	
7621.85472883603	34.4	8.58	24.12	17.74	57.495787590894665	15	53	52	14	40	29	16	6	9	7	0	0	0.022719860076904297	800	0.25908541679382324	0	100.0	
6427.491256204471	38.3	8.44	24.36	17.82	57.495787590894665	16	54	58	13	45	32	16	6	9	7	0	0	0.02730417251586914	850	0.2863895893096924	0	100.0	
8418.037814161988	37.3	7.96	22.82	16.72	55.52632059609971	17	55	55	12	36	26	14	6	9	7	0	0	0.02263188362121582	900	0.3090214729309082	0	100.0	
7223.073599347582	38.18	8.28	24.22	17.82	55.52632059609971	18	55	55	12	41	30	17	6	10	8	0	0	0.024951934814453125	950	0.33397340774536133	0	100.0	
8219.20789010549	36.76	7.94	21.94	16.2	55.52632059609971	19	55	61	10	34	25	13	6	9	7	0	0	0.021892547607421875	1000	0.3558659553527832	0	100.0	
8418.360306354092	41.48	7.96	22.6	16.7	55.52632059609971	20	55	67	13	41	30	13	6	9	7	0	0	0.020270109176635742	1050	0.37613606452941895	0	100.0	
9015.631699965252	45.48	8.02	21.84	16.06	53.56532106327636	21	55	80	13	34	25	23	6	9	7	0	0	0.019681215286254883	1100	0.39581727981567383	0	100.0	
8616.913975883568	45.48	8.24	23.7	17.34	53.56532106327636	22	55	77	15	40	28	14	6	9	7	0	0	0.020757198333740234	1150	0.41657447814941406	0	100.0	
8417.69805443665	48.74	8.4	25.24	18.5	53.56532106327636	23	55	77	13	49	36	22	6	9	7	0	0	0.023149490356445312	1200	0.4397239685058594	0	100.0	
7621.877564588321	51.4	8.6	25.66	18.82	53.56532106327636	24	55	77	13	40	29	23	6	10	8	0	0	0.023022174835205078	1250	0.46274614334106445	0	100.0	
7622.858895835176	50.86	8.26	24.28	17.78	52.58916406412634	25	55	85	13	41	30	33	6	9	7	0	0	0.021007776260375977	1300	0.48375391960144043	0	100.0	
6230.543350769513	50.96	8.64	26.18	19.26	52.58916406412634	26	55	87	14	52	37	26	6	9	7	0	0	0.0219876766204834	1350	0.5057415962219238	0	100.0	
6030.690373813226	56.22	8.9	28.2	20.66	52.58916406412634	27	56	99	14	56	40	17	6	9	7	0	0	0.025348424911499023	1400	0.5310900211334229	0	100.0	
7368.888410566286	54.02	8.571428571428571	25.448979591836736	18.6734693877551	52.58916406412634	28	58	106	12.0	42.0	31.0	15	6.0	9.0	7.0	0	0	0.023048877716064453	1450	0.5541388988494873	0	100.0	
6826.052712136644	57.28	8.74	26.54	19.46	52.58916406412634	29	58	106	15	45	32	21	6	9	7	0	0	0.025145292282104492	1500	0.5792841911315918	0	100.0	
7025.296859953165	59.5	8.8	27.06	19.9	52.58916406412634	30	58	94	15	45	33	24	6	9	7	0	0	0.025282859802246094	1550	0.6045670509338379	0	100.0	
7621.908965979282	59.02	8.98	27.62	20.32	52.58916406412634	31	58	105	14	54	40	25	6	12	9	0	0	0.025682687759399414	1600	0.6302497386932373	0	100.0	
6628.370049566886	61.72	9.44	29.56	21.72	52.58916406412634	32	58	95	17	66	49	31	6	12	9	0	0	0.025547266006469727	1650	0.655797004699707	0	100.0	
6429.763830095682	63.02	9.28	28.48	20.98	52.58916406412634	33	59	103	15	54	40	31	6	9	7	0	0	0.02500438690185547	1700	0.6808013916015625	0	100.0	
6827.283389606648	65.4	9.72	30.42	22.3	52.58916406412634	34	59	111	16	54	40	36	6	12	9	0	0	0.02707648277282715	1750	0.7078778743743896	0	100.0	
6826.944964931619	63.54	9.42	28.22	20.74	52.58916406412634	35	60	109	17	59	44	32	6	9	7	0	0	0.02510523796081543	1800	0.7329831123352051	0	100.0	
5235.103578565313	68.88	8.62	26.76	19.66	52.58916406412634	36	60	122	13	50	36	30	6	9	7	0	0	0.02400946617126465	1850	0.7569925785064697	0	100.0	
5831.977968385612	76.56	8.58	27.06	19.88	52.58916406412634	37	60	111	15	62	45	37	6	12	9	0	0	0.022763490676879883	1900	0.7797560691833496	0	100.0	
5433.172752351462	74.02	8.44	25.36	18.8	52.58916406412634	38	60	106	12	46	34	44	6	9	7	0	0	0.023909330368041992	1950	0.8036653995513916	0	100.0	
6229.71931907967	70.46	8.32	24.66	18.34	52.58916406412634	39	60	97	13	44	33	42	6	9	7	0	0	0.022612333297729492	2000	0.8262777328491211	0	100.0	
7223.534152365536	70.1	8.2	23.24	17.3	52.58916406412634	40	60	100	13	44	33	42	6	9	7	0	0	0.022918701171875	2050	0.8491964340209961	0	100.0	
6629.4983622413365	72.18	8.6	25.36	18.78	52.58916406412634	41	60	102	14	59	43	38	6	9	7	0	0	0.021294355392456055	2100	0.8704907894134521	0	100.0	
5831.636370914609	67.52	8.84	26.96	19.82	52.58916406412634	42	60	125	14	59	43	32	6	15	11	0	0	0.025316953659057617	2150	0.8958077430725098	0	100.0	
6826.825013842646	67.36	8.58	25.5	18.8	52.58916406412634	43	61	105	14	59	43	28	6	9	7	0	0	0.024571657180786133	2200	0.9203794002532959	0	100.0	
6826.607256138527	66.46	9.12	27.84	20.46	52.58916406412634	44	61	102	16	56	42	23	6	12	9	0	0	0.024861812591552734	2250	0.9452412128448486	0	100.0	
6627.223651627859	66.64	8.52	26.06	19.2	52.58916406412634	45	61	110	15	48	35	23	6	10	8	0	0	0.023810148239135742	2300	0.9690513610839844	0	100.0	
7223.094120298738	69.02	8.38	24.4	18.06	52.58916406412634	46	62	117	13	45	33	23	6	10	8	0	0	0.02496647834777832	2350	0.9940178394317627	0	100.0	
6824.8356265638895	66.46	8.1	23.3	17.28	51.61681687685298	47	62	120	13	43	32	23	6	9	7	0	0	0.024460792541503906	2400	1.0184786319732666	0	100.0	
7422.552010646579	72.72	7.96	23.44	17.26	51.61681687685298	48	62	136	12	56	41	27	6	12	9	0	0	0.02215576171875	2450	1.0406343936920166	0	100.0	
7821.22730006618	69.66	7.76	22.06	16.32	51.61681687685298	49	62	136	12	39	29	28	6	9	7	0	0	0.02058553695678711	2500	1.0612199306488037	0	100.0	
8416.416995953517	70.76	7.8	21.88	16.14	51.61681687685298	50	62	132	12	40	30	28	6	9	7	0	0	0.024340391159057617	2550	1.0855603218078613	0	100.0	
10015.0	16.24	6.9	14.42	11.0	10015	50	62	28	10	25	19	10	6	9	7	0	0	9.887811660766602	2550	10.973371982574463	0	100.0	
10015.0	15.54	6.7555555555555555	13.777777777777779	10.555555555555555	10015	1	68	34	10.0	26.0	20.0	8	6.0	9.0	7.0	0	0	0.007838964462280273	100	10.981210947036743	0	100.0	
10015.0	16.56	6.891304347826087	14.26086956521739	10.891304347826088	10015	2	73	42	13.0	37.0	28.0	6	6.0	9.0	7.0	0	0	0.008659839630126953	150	10.98987078666687	0	100.0	
10015.0	17.24	6.75	13.6875	10.541666666666666	10015	3	76	44	8.0	24.0	18.0	9	6.0	9.0	7.0	0	0	0.008811712265014648	200	10.998682498931885	0	100.0	
10015.0	15.56	6.5227272727272725	12.227272727272727	9.409090909090908	10015	4	83	37	9.0	25.0	19.0	6	6.0	9.0	7.0	0	0	0.0075643062591552734	250	11.00624680519104	0	100.0	
10015.0	16.68	6.673913043478261	12.782608695652174	9.847826086956522	10015	5	88	37	10.0	26.0	20.0	5	6.0	9.0	7.0	0	0	0.007418155670166016	300	11.013664960861206	0	100.0	
10015.0	15.2	6.4	11.6	8.95	10015	6	99	41	10.0	25.0	19.0	2	6.0	9.0	7.0	0	0	0.00624537467956543	350	11.019910335540771	0	100.0	
10015.0	15.34	6.2444444444444445	10.8	8.333333333333334	10015	7	105	38	8.0	17.0	13.0	3	6.0	9.0	7.0	0	0	0.006525754928588867	400	11.02643609046936	0	100.0	
10015.0	15.64	6.25	11.666666666666666	8.979166666666666	10015	8	108	28	8.0	20.0	15.0	2	6.0	9.0	7.0	0	0	0.00810861587524414	450	11.034544706344604	0	100.0	
10015.0	16.26	6.217391304347826	11.326086956521738	8.73913043478261	10015	9	113	30	8.0	19.0	14.0	6	6.0	9.0	7.0	0	0	0.0077512264251708984	500	11.042295932769775	0	100.0	
9815.887176411923	18.24	6.3	11.96	9.22	59.358820596099704	10	114	37	8	20	15	8	6	9	7	0	0	0.00938558578491211	550	11.051681518554688	0	100.0	
9797.920843926002	19.06	6.543478260869565	13.391304347826088	10.26086956521739	59.358820596099704	11	119	37	8.0	20.0	15.0	7	6.0	9.0	7.0	0	0	0.009480953216552734	600	11.06116247177124	0	100.0	
9795.63823523035	23.9	6.565217391304348	14.23913043478261	10.847826086956522	59.358820596099704	12	124	43	8.0	20.0	15.0	3	6.0	9.0	7.0	0	0	0.012619972229003906	650	11.073782444000244	0	100.0	
9415.220660505078	25.9	6.56	14.82	11.26	59.358820596099704	13	124	37	8	25	19	14	6	9	7	0	0	0.015447139739990234	700	11.089229583740234	0	100.0	
9415.440337623188	27.94	6.86	16.28	12.32	59.358820596099704	14	125	43	10	32	24	14	6	9	7	0	0	0.01442575454711914	750	11.103655338287354	0	100.0	
8953.292461078661	26.74	6.702127659574468	16.29787234042553	12.27659574468085	59.358820596099704	15	129	41	9.0	28.0	21.0	6	6.0	9.0	7.0	0	0	0.016465425491333008	800	11.120120763778687	0	100.0	
9401.919598320283	27.88	6.755102040816326	16.755102040816325	12.551020408163266	59.358820596099704	16	131	49	10.0	30.0	22.0	11	6.0	9.0	7.0	0	0	0.017545700073242188	850	11.137666463851929	0	100.0	
9803.84080876242	30.52	7.020833333333333	17.75	13.291666666666666	59.358820596099704	17	134	52	10.0	30.0	22.0	10	6.0	9.0	7.0	0	0	0.029964447021484375	900	11.167630910873413	0	100.0	
9612.274352823844	30.62	7.02	17.8	13.32	59.358820596099704	18	135	54	9	26	19	12	6	9	7	0	0	0.017791032791137695	950	11.18542194366455	0	100.0	
8816.561088297243	30.5	7.08	18.14	13.56	59.358820596099704	19	136	55	9	27	20	11	6	12	9	0	0	0.020226240158081055	1000	11.205648183822632	0	100.0	
