ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10015.0	24.3	6.95	23.8	16.3	10015	0	0	46	13	46	31	12	5	11	8	0	0	0.07014966011047363	20	0.07014966011047363	0	100.0	
10015.0	26.45	6.5	24.25	16.4375	10015	1	5	54	8.0	41.0	28.0	10	5.0	11.0	8.0	0	0	0.005358695983886719	40	0.07550835609436035	0	100.0	
10015.0	26.25	7.105263157894737	24.31578947368421	16.842105263157894	10015	2	7	54	10.0	41.0	28.0	8	5.0	11.0	8.0	0	0	0.005337953567504883	60	0.08084630966186523	0	100.0	
10015.0	26.25	6.631578947368421	22.31578947368421	15.473684210526315	10015	3	9	43	10.0	41.0	28.0	11	5.0	11.0	8.0	0	0	0.0055446624755859375	80	0.08639097213745117	0	100.0	
10015.0	28.9	7.235294117647059	24.11764705882353	16.58823529411765	10015	4	13	51	11.0	50.0	34.0	12	5.0	14.0	10.0	0	0	0.0053064823150634766	100	0.09169745445251465	0	100.0	
10015.0	33.8	7.555555555555555	26.22222222222222	18.166666666666668	10015	5	16	58	11.0	50.0	34.0	15	5.0	14.0	10.0	0	0	0.005150794982910156	120	0.0968482494354248	0	100.0	
10015.0	41.6	7.15	27.75	19.1	10015	6	16	64	11	50	34	20	5	11	8	0	0	0.00662684440612793	140	0.10347509384155273	0	100.0	
10015.0	42.95	7.2	27.25	18.75	10015	7	16	75	11	50	34	21	5	11	8	0	0	0.006015300750732422	160	0.10949039459228516	0	100.0	
10015.0	43.65	7.0	27.25	18.5	10015	8	17	77	12	51	34	16	5	11	8	0	0	0.005685567855834961	180	0.11517596244812012	0	100.0	
10015.0	46.3	7.3	28.55	19.4	10015	9	17	83	10	47	32	21	5	14	10	0	0	0.022738218307495117	200	0.13791418075561523	0	100.0	
10015.0	46.05	6.944444444444445	27.166666666666668	18.444444444444443	10015	10	20	87	10.0	44.0	30.0	15	5.0	14.0	10.0	0	0	0.005513906478881836	220	0.14342808723449707	0	100.0	
10015.0	49.55	7.05	29.0	19.7	10015	11	21	68	10	56	38	21	5	14	10	0	0	0.006528615951538086	240	0.14995670318603516	0	100.0	
10015.0	52.15	7.0	27.9	18.9	10015	12	22	102	10	56	38	21	6	15	11	0	0	0.0060689449310302734	260	0.15602564811706543	0	100.0	
10015.0	44.75	6.95	26.5	18.2	10015	13	22	66	10	50	34	19	6	15	11	0	0	0.006035566329956055	280	0.16206121444702148	0	100.0	
10015.0	50.55	6.9	25.8	17.7	10015	14	23	75	10	50	34	21	6	14	10	0	0	0.0053098201751708984	300	0.16737103462219238	0	100.0	
10015.0	46.9	7.0	26.842105263157894	18.36842105263158	10015	15	25	79	10.0	50.0	34.0	17	5.0	11.0	8.0	0	0	0.005388736724853516	320	0.1727597713470459	0	100.0	
10015.0	61.65	7.75	32.2	21.95	10015	16	25	79	11	56	38	21	5	11	8	0	0	0.006545066833496094	340	0.179304838180542	0	100.0	
10015.0	66.95	8.35	34.3	23.4	10015	17	25	88	13	68	46	21	6	17	12	0	0	0.006798267364501953	360	0.18610310554504395	0	100.0	
10015.0	63.15	7.95	31.0	21.25	10015	18	25	102	11	56	38	21	5	16	11	0	0	0.006120443344116211	380	0.19222354888916016	0	100.0	
10015.0	57.85	7.5	27.8	19.15	10015	19	25	111	10	50	34	15	6	14	10	0	0	0.005523681640625	400	0.19774723052978516	0	100.0	
10015.0	46.0	7.176470588235294	26.88235294117647	18.470588235294116	10015	20	29	83	10.0	39.0	27.0	8	5.0	17.0	12.0	0	0	0.004814863204956055	420	0.2025620937347412	0	100.0	
10015.0	20.2	6.25	19.55	13.65	10015	20	29	36	9	35	24	15	5	14	10	0	0	0.2091081142425537	420	0.4116702079772949	0	100.0	
10015.0	20.4	6.277777777777778	20.333333333333332	14.055555555555555	10015	1	32	31	8.0	29.0	20.0	9	5.0	16.0	11.0	0	0	0.004515886306762695	40	0.4161860942840576	0	100.0	
10015.0	20.25	6.352941176470588	20.88235294117647	14.529411764705882	10015	2	36	30	8.0	29.0	20.0	7	6.0	17.0	12.0	0	0	0.004558086395263672	60	0.4207441806793213	0	100.0	
10015.0	22.35	6.473684210526316	20.263157894736842	14.105263157894736	10015	3	38	34	8.0	26.0	18.0	12	6.0	14.0	10.0	0	0	0.004605531692504883	80	0.42534971237182617	0	100.0	
10015.0	23.75	6.588235294117647	21.176470588235293	14.647058823529411	10015	4	42	35	8.0	30.0	20.0	6	6.0	17.0	12.0	0	0	0.004198312759399414	100	0.4295480251312256	0	100.0	
10015.0	24.35	7.0	22.166666666666668	15.38888888888889	10015	5	45	35	11.0	39.0	27.0	11	6.0	15.0	11.0	0	0	0.004616498947143555	120	0.43416452407836914	0	100.0	
10015.0	24.4	7.333333333333333	23.72222222222222	16.38888888888889	10015	6	48	37	11.0	39.0	27.0	9	5.0	14.0	10.0	0	0	0.005533933639526367	140	0.4396984577178955	0	100.0	
10015.0	26.1	6.578947368421052	21.05263157894737	14.526315789473685	10015	7	50	43	10.0	39.0	27.0	13	5.0	14.0	10.0	0	0	0.004620790481567383	160	0.4443192481994629	0	100.0	
10015.0	24.45	6.3	20.0	13.9	10015	8	51	34	10	38	26	16	5	14	10	0	0	0.004647016525268555	180	0.44896626472473145	0	100.0	
10015.0	19.45	5.666666666666667	17.77777777777778	12.222222222222221	10015	9	54	32	8.0	25.0	17.0	9	5.0	11.0	8.0	0	0	0.003889799118041992	200	0.45285606384277344	0	100.0	
10015.0	22.35	6.2	19.95	13.75	10015	10	55	31	10	39	26	13	5	11	8	0	0	0.004877567291259766	220	0.4577336311340332	0	100.0	
10015.0	22.3	6.05	18.8	13.1	10015	11	56	33	8	29	20	14	5	11	8	0	0	0.00417780876159668	240	0.4619114398956299	0	100.0	
10015.0	22.75	5.95	18.55	12.75	10015	12	57	37	9	27	18	13	5	11	8	0	0	0.004464149475097656	260	0.46637558937072754	0	100.0	
10015.0	21.05	6.0	19.77777777777778	13.61111111111111	10015	13	60	31	8.0	33.0	22.0	11	5.0	14.0	10.0	0	0	0.004037380218505859	280	0.4704129695892334	0	100.0	
10015.0	22.25	6.6	21.6	14.9	10015	14	60	38	11	51	34	8	5	11	8	0	0	0.00523686408996582	300	0.4756498336791992	0	100.0	
10015.0	23.85	6.631578947368421	21.36842105263158	14.789473684210526	10015	15	62	43	9.0	39.0	26.0	10	5.0	11.0	8.0	0	0	0.004525661468505859	320	0.4801754951477051	0	100.0	
10015.0	20.8	5.764705882352941	17.176470588235293	11.941176470588236	10015	16	66	44	7.0	27.0	18.0	5	5.0	11.0	8.0	0	0	0.00394439697265625	340	0.48411989212036133	0	100.0	
10015.0	20.8	5.95	18.75	12.9	10015	17	67	30	7	27	18	10	5	11	8	0	0	0.004785060882568359	360	0.4889049530029297	0	100.0	
10015.0	17.5	5.647058823529412	19.294117647058822	12.941176470588236	10015	18	71	30	7.0	27.0	18.0	9	5.0	11.0	8.0	0	0	0.004282474517822266	380	0.49318742752075195	0	100.0	
10015.0	22.9	6.0	18.36842105263158	12.631578947368421	10015	19	73	38	7.0	27.0	18.0	10	5.0	11.0	8.0	0	0	0.004470348358154297	400	0.49765777587890625	0	100.0	
10015.0	22.05	5.470588235294118	17.176470588235293	11.882352941176471	10015	20	77	46	7.0	29.0	20.0	8	5.0	11.0	8.0	0	0	0.00392460823059082	420	0.5015823841094971	0	100.0	
10015.0	24.05	6.65	23.4	16.15	10015	20	77	45	9	45	30	12	5	11	8	0	0	0.1493544578552246	420	0.6509368419647217	0	100.0	
10015.0	27.75	7.052631578947368	26.0	17.842105263157894	10015	1	79	45	9.0	45.0	30.0	17	5.0	14.0	10.0	0	0	0.0058441162109375	40	0.6567809581756592	0	100.0	
10015.0	26.65	6.684210526315789	21.473684210526315	14.894736842105264	10015	2	81	45	9.0	42.0	28.0	11	6.0	17.0	12.0	0	0	0.004665851593017578	60	0.6614468097686768	0	100.0	
10015.0	30.75	7.4	24.15	16.7	10015	3	81	53	10	35	24	16	6	14	10	0	0	0.005087375640869141	80	0.6665341854095459	0	100.0	
10015.0	28.55	7.35	23.5	16.3	10015	4	81	45	9	29	20	18	5	11	8	0	0	0.004685878753662109	100	0.671220064163208	0	100.0	
10015.0	28.8	7.166666666666667	23.38888888888889	16.166666666666668	10015	5	84	47	9.0	38.0	26.0	12	5.0	14.0	10.0	0	0	0.004395723342895508	120	0.6756157875061035	0	100.0	
10015.0	29.95	7.5	23.27777777777778	16.166666666666668	10015	6	87	46	12.0	41.0	28.0	17	5.0	11.0	8.0	0	0	0.0052340030670166016	140	0.6808497905731201	0	100.0	
10015.0	32.3	6.55	18.65	13.1	10015	7	88	50	12	32	22	18	5	11	8	0	0	0.004282712936401367	160	0.6851325035095215	0	100.0	
10015.0	28.2	6.421052631578948	18.42105263157895	12.947368421052632	10015	8	90	52	10.0	26.0	18.0	17	5.0	11.0	8.0	0	0	0.0038805007934570312	180	0.6890130043029785	0	100.0	
10015.0	35.15	7.45	21.85	15.25	10015	9	90	51	11	38	26	18	5	11	8	0	0	0.00469517707824707	200	0.6937081813812256	0	100.0	
10015.0	34.15	7.2	19.65	13.75	10015	10	90	51	10	29	20	11	5	11	8	0	0	0.004124641418457031	220	0.6978328227996826	0	100.0	
10015.0	34.6	6.7368421052631575	19.157894736842106	13.421052631578947	10015	11	92	51	10.0	35.0	24.0	16	5.0	14.0	10.0	0	0	0.003961324691772461	240	0.7017941474914551	0	100.0	
10015.0	39.0	6.45	17.9	12.6	10015	12	93	52	10	29	20	18	5	11	8	0	0	0.004456758499145508	260	0.7062509059906006	0	100.0	
10015.0	38.85	6.85	19.2	13.45	10015	13	94	54	11	30	21	18	5	11	8	0	0	0.004063606262207031	280	0.7103145122528076	0	100.0	
10015.0	42.65	7.0	20.5	14.3	10015	14	94	57	10	36	25	18	5	11	8	0	0	0.004438877105712891	300	0.7147533893585205	0	100.0	
10015.0	40.55	6.55	18.75	13.15	10015	15	95	60	10	32	22	18	5	11	8	0	0	0.004618406295776367	320	0.7193717956542969	0	100.0	
10015.0	39.05	6.65	20.95	14.6	10015	16	95	62	9	29	20	18	5	14	10	0	0	0.004709005355834961	340	0.7240808010101318	0	100.0	
10015.0	38.9	6.6	20.45	14.25	10015	17	95	62	9	29	20	17	5	11	8	0	0	0.004670381546020508	360	0.7287511825561523	0	100.0	
10015.0	31.0	6.526315789473684	20.57894736842105	14.31578947368421	10015	18	97	60	9.0	29.0	20.0	15	5.0	11.0	8.0	0	0	0.004400730133056641	380	0.733151912689209	0	100.0	
10015.0	29.25	6.85	20.65	14.35	10015	19	98	55	10	31	21	18	5	11	8	0	0	0.0047266483306884766	400	0.7378785610198975	0	100.0	
10015.0	30.2	6.95	22.2	15.5	10015	20	99	67	9	36	25	16	5	11	8	0	0	0.004760026931762695	420	0.7426385879516602	0	100.0	
