ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1.1610806581592754	65.228	12.645833333333334	35.233333333333334	26.085416666666667	0.18472851311815447	24	688	230	39.0	223.0	161.0	10	2.0	2.0	1.0	0	0	0.07059907913208008	12500	1.5450751781463623	
3.5850986628295395e+36	68.232	13.591836734693878	38.52448979591837	28.602040816326532	0.18472851311815447	25	699	215	41.0	297.0	214.0	11	2.0	2.0	1.0	0	0	0.0764913558959961	13000	1.6215665340423584	
22.45825888842175	74.35	13.199186991869919	38.709349593495936	28.65650406504065	0.18472851311815447	26	708	235	41.0	281.0	203.0	11	2.0	2.0	1.0	0	0	0.09687161445617676	13500	1.7184381484985352	
1.1874374656017785	71.402	12.260692464358453	33.93890020366599	25.140529531568227	0.18472851311815447	27	718	235	51.0	284.0	205.0	13	2.0	2.0	1.0	0	0	0.06795859336853027	14000	1.7863967418670654	
2.422529478445213e+22	73.262	12.923076923076923	36.6336032388664	27.194331983805668	0.18472851311815447	28	725	215	51.0	195.0	145.0	10	2.0	2.0	1.0	0	0	0.07463645935058594	14500	1.8610332012176514	
inf	78.326	13.985714285714286	40.748979591836736	30.416326530612245	0.18472851311815447	29	736	225	52.0	252.0	184.0	13	2.0	2.0	1.0	0	0	0.08163952827453613	15000	1.9426727294921875	
1214.0448306901785	85.058	14.11336032388664	41.79554655870445	31.2165991902834	0.18472851311815447	30	743	228	46.0	243.0	176.0	16	2.0	2.0	1.0	0	0	0.08384490013122559	15500	2.026517629623413	
1.441299825449923	91.476	15.154308617234468	49.673346693386776	36.95190380761523	0.18472851311815447	31	745	260	45.0	294.0	214.0	7	2.0	2.0	1.0	0	0	0.09502029418945312	16000	2.121537923812866	
1.58400827722778	96.23	17.592	59.408	44.464	0.18472851311815447	32	746	262	59	294	214	19	2	2	1	0	0	0.11383557319641113	16500	2.2353734970092773	
inf	100.688	18.732251521298174	65.6896551724138	49.11561866125761	0.18472851311815447	33	754	278	76.0	338.0	256.0	13	2.0	2.0	1.0	0	0	0.12200021743774414	17000	2.3573737144470215	
0.8188659431021991	104.372	18.627811860940696	67.38650306748467	50.0838445807771	0.18472851311815447	34	766	325	64.0	407.0	303.0	15	2.0	2.0	1.0	0	0	0.12389969825744629	17500	2.4812734127044678	
