ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10015.0	19.02	7.36	17.0	12.86	10015	0	0	39	11	35	26	10	6	9	7	0	0	0.06798958778381348	50	0.06798958778381348	0	100.0	
10015.0	17.04	7.026315789473684	15.263157894736842	11.605263157894736	10015	1	13	48	11.0	48.0	35.0	4	6.0	9.0	7.0	0	0	0.006762266159057617	100	0.0747518539428711	0	100.0	
10014.65909090909	23.04	7.454545454545454	18.068181818181817	13.522727272727273	10000	2	20	57	15.0	44.0	32.0	7	6.0	9.0	7.0	0	0	0.009238243103027344	150	0.08399009704589844	0	100.0	
10014.318181818182	24.8	7.090909090909091	15.272727272727273	11.568181818181818	10000	3	27	50	15.0	44.0	31.0	7	6.0	9.0	7.0	0	0	0.018666505813598633	200	0.10265660285949707	0	100.0	
9792.969751568802	27.34	7.533333333333333	17.244444444444444	12.955555555555556	73.6388205960997	4	33	55	15.0	44.0	31.0	8	6.0	9.0	7.0	0	0	0.010617971420288086	250	0.11327457427978516	0	100.0	
9607.597502881474	31.26	7.408163265306122	17.26530612244898	13.020408163265307	73.6388205960997	5	35	60	13.0	39.0	28.0	10	6.0	9.0	7.0	0	0	0.013374090194702148	300	0.1266486644744873	0	100.0	
9201.80482915439	34.32	8.020408163265307	21.224489795918366	15.857142857142858	73.6388205960997	6	37	53	17.0	49.0	34.0	9	6.0	9.0	7.0	0	0	0.016110658645629883	350	0.1427593231201172	0	100.0	
8622.18333506625	34.74	8.16	21.6	16.06	73.6388205960997	7	38	63	17	49	34	14	6	9	7	0	0	0.01566028594970703	400	0.15841960906982422	0	100.0	
8956.808943762613	35.2	7.468085106382978	18.914893617021278	14.106382978723405	73.6388205960997	8	42	66	16.0	49.0	35.0	14	6.0	9.0	7.0	0	0	0.013237237930297852	450	0.17165684700012207	0	100.0	
8424.01174047237	39.62	7.54	19.96	14.94	73.6388205960997	9	43	74	12	43	31	19	6	9	7	0	0	0.01553797721862793	500	0.18719482421875	0	100.0	
9020.098747049424	40.08	7.4	19.28	14.44	73.6388205960997	10	44	78	13	39	28	20	6	9	7	0	0	0.014235496520996094	550	0.2014303207397461	0	100.0	
9615.86329952021	42.3	7.64	20.1	15.02	73.6388205960997	11	45	82	12	36	27	15	6	9	7	0	0	0.01533198356628418	600	0.21676230430603027	0	100.0	
8998.568646502443	45.5	7.857142857142857	21.142857142857142	15.714285714285714	73.6388205960997	12	47	84	14.0	42.0	30.0	8	6.0	9.0	7.0	0	0	0.017621517181396484	650	0.23438382148742676	0	100.0	
9218.068524813296	44.02	7.74	20.42	15.16	73.6388205960997	13	47	78	10	35	26	20	6	9	7	0	0	0.017356395721435547	700	0.2517402172088623	0	100.0	
8026.31750910732	43.14	7.86	21.82	16.14	73.6388205960997	14	47	80	12	42	31	25	6	9	7	0	0	0.017584800720214844	750	0.26932501792907715	0	100.0	
7627.7433375153505	43.34	8.32	23.8	17.52	73.6388205960997	15	47	69	12	38	28	21	6	10	8	0	0	0.020172119140625	800	0.28949713706970215	0	100.0	
8819.271296806219	44.56	8.32	24.28	17.82	73.6388205960997	16	47	66	12	41	30	25	6	9	7	0	0	0.020697593688964844	850	0.310194730758667	0	100.0	
7032.500038615391	44.9	8.38	23.74	17.46	69.72931687685298	17	47	76	14	47	34	21	6	9	7	0	0	0.01822519302368164	900	0.32841992378234863	0	100.0	
7430.987758125747	52.0	8.8	26.12	19.28	69.72931687685298	18	47	86	14	52	38	20	6	9	7	0	0	0.019491195678710938	950	0.34791111946105957	0	100.0	
6833.077931718937	50.8	8.4	24.84	18.32	69.72931687685298	19	48	99	15	59	44	16	6	9	7	0	0	0.020456790924072266	1000	0.36836791038513184	0	100.0	
