ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10015.0	26.02	7.04	25.6	17.46	10015	0	0	67	15	66	45	12	5	11	8	0	0	0.08336877822875977	50	0.08336877822875977	0	100.0	
10015.0	27.34	7.404761904761905	26.261904761904763	17.88095238095238	10015	1	9	57	13.0	62.0	42.0	11	5.0	11.0	8.0	0	0	0.014900922775268555	100	0.09826970100402832	0	100.0	
10015.0	27.1	7.468085106382978	26.0	17.80851063829787	10015	2	13	57	12.0	57.0	38.0	12	5.0	11.0	8.0	0	0	0.03462791442871094	150	0.13289761543273926	0	100.0	
10014.891304347826	28.26	7.434782608695652	26.717391304347824	18.217391304347824	10010	3	18	72	12.0	59.0	40.0	5	5.0	16.0	11.0	0	0	0.015554428100585938	200	0.1484520435333252	0	100.0	
10014.52380952381	27.54	7.380952380952381	26.095238095238095	17.833333333333332	10010	4	27	67	12.0	59.0	40.0	7	5.0	11.0	8.0	0	0	0.014967918395996094	250	0.1634199619293213	0	100.0	
10014.673913043478	32.08	7.804347826086956	29.26086956521739	20.043478260869566	10010	5	32	55	14.0	59.0	40.0	11	5.0	14.0	10.0	0	0	0.01601123809814453	300	0.17943120002746582	0	100.0	
10014.444444444445	35.72	7.622222222222222	30.08888888888889	20.666666666666668	10010	6	38	66	12.0	59.0	40.0	7	5.0	16.0	11.0	0	0	0.01744365692138672	350	0.19687485694885254	0	100.0	
10014.166666666666	39.16	7.729166666666667	30.395833333333332	20.666666666666668	10010	7	41	65	10.0	51.0	35.0	18	5.0	18.0	13.0	0	0	0.018734216690063477	400	0.21560907363891602	0	100.0	
10014.1	40.1	7.98	32.94	22.36	10010	8	42	65	12	68	46	14	6	17	12	0	0	0.01982593536376953	450	0.23543500900268555	0	100.0	
10012.8125	41.72	7.833333333333333	31.25	21.354166666666668	10010	9	45	82	14.0	78.0	53.0	20	5.0	17.0	12.0	0	0	0.018895864486694336	500	0.2543308734893799	0	100.0	
10012.5	42.5	7.86	31.0	21.28	10010	10	46	88	11	69	47	18	6	17	12	0	0	0.020906686782836914	550	0.2752375602722168	0	100.0	
10012.6	44.08	7.66	30.14	20.7	10010	11	47	99	12	66	45	16	5	14	10	0	0	0.020205974578857422	600	0.2954435348510742	0	100.0	
10012.65306122449	41.24	7.551020408163265	27.836734693877553	19.20408163265306	10010	12	49	98	13.0	60.0	41.0	19	5.0	15.0	11.0	0	0	0.01906561851501465	650	0.31450915336608887	0	100.0	
10012.244897959185	42.58	7.63265306122449	27.244897959183675	18.816326530612244	10010	13	51	102	13.0	60.0	41.0	9	6.0	15.0	11.0	0	0	0.019169092178344727	700	0.3336782455444336	0	100.0	
10012.127659574468	43.72	7.404255319148936	26.4468085106383	18.25531914893617	10010	14	55	102	12.0	54.0	37.0	15	5.0	15.0	11.0	0	0	0.018781185150146484	750	0.3524594306945801	0	100.0	
10011.979166666666	48.1	7.875	29.770833333333332	20.583333333333332	10010	15	58	122	12.0	53.0	36.0	10	5.0	14.0	10.0	0	0	0.020661592483520508	800	0.3731210231781006	0	100.0	
10012.4	61.44	7.82	27.82	19.28	10010	16	59	133	12	60	41	17	5	16	11	0	0	0.020833730697631836	850	0.3939547538757324	0	100.0	
10012.1	60.98	8.72	33.22	22.88	10010	17	59	144	12	60	41	20	5	16	11	0	0	0.021520376205444336	900	0.41547513008117676	0	100.0	
10011.8	65.1	8.34	33.0	22.78	10010	18	59	151	13	66	45	17	6	18	13	0	0	0.0229494571685791	950	0.43842458724975586	0	100.0	
10011.7	74.04	8.0	32.72	22.64	10010	19	60	162	11	60	41	24	6	18	13	0	0	0.022344589233398438	1000	0.4607691764831543	0	100.0	
10012.3	60.58	7.62	29.3	20.26	10000	20	60	138	11	60	41	17	5	15	11	0	0	0.021263599395751953	1050	0.48203277587890625	0	100.0	
10012.65306122449	62.02	7.36734693877551	26.73469387755102	18.510204081632654	10000	21	62	143	11.0	60.0	41.0	15	5.0	15.0	11.0	0	0	0.018583297729492188	1100	0.5006160736083984	0	100.0	
10012.448979591836	68.72	7.448979591836735	27.79591836734694	19.142857142857142	10000	22	64	160	11.0	47.0	32.0	6	6.0	15.0	11.0	0	0	0.020097017288208008	1150	0.5207130908966064	0	100.0	
10012.3	80.76	7.44	26.06	17.88	10000	23	64	154	11	48	33	26	5	16	11	0	0	0.020261049270629883	1200	0.5409741401672363	0	100.0	
10012.6	91.86	7.12	24.38	16.76	10000	24	64	153	11	48	33	15	6	18	13	0	0	0.018738746643066406	1250	0.5597128868103027	0	100.0	
